Feature.name	Flowers_Col0_Rep1	Flowers_dne1_3_11_Rep1_1	Flowers_dne1_3_11_Rep1_2	Seedling_Col0_Rep1	Seedling_Col0_Rep2	Seedling_Col0_Rep3	Seedling_xrn4_Rep1	Seedling_xrn4_Rep2	Seedling_xrn4_Rep3	Seedling_xrn4_dne1_Rep1	Seedling_xrn4_dne1_Rep2	Seedling_xrn4_dne1_Rep3	dne1_3_11...Col0	xrn4...Col0	xrn4_dne1...Col0	xrn4_dne1...xrn4	ensembl_transcript_id	description	external_gene_name
AT1G02290.1	10.4166666666667	8.33333333333333	10.5263157894737	8.47457627118644	8.92857142857143	8.62068965517241	16.0919540229885	14.1025641025641	12.3711340206186	25.8064516129032	21.7948717948718	18.9873417721519	0.940709723057203	0.00441478957603493	8.04171544170155e-13	0.000281328750349612	AT1G02290.1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:839255]	AT1G02290
AT1G02860.1	10.5590062111801	13.3086876155268	8.51063829787234	7.66423357664234	6.85714285714286	11.4695340501792	11.969111969112	13.8755980861244	10.8433734939759	16.6134185303514	19.6787148594378	19.2708333333333	0.993940145613685	0.175246069594493	2.64370193549742e-06	0.0114617247979814	AT1G02860.1	SPX (SYG1/Pho81/XPR1) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839559]	NLA
AT1G03590.1	12.218045112782	11.7647058823529	9.90654205607477	16.5217391304348	18.5840707964602	20.5128205128205	22.0779220779221	23.5294117647059	20.4819277108434	30.2013422818792	28.9855072463768	36.4485981308411	0.83162475703969	0.435699457818029	1.29179591860244e-07	0.000342229955046542	AT1G03590.1	Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:839447]	AT1G03590
AT1G06980.1	NA	NA	NA	18.9723320158103	20.1298701298701	19.2307692307692	20.6896551724138	21.0227272727273	14.5833333333333	24.4019138755981	26.8707482993197	27.4787535410765	NA	0.999999992989442	0.0117748497696469	0.00355250814199591	AT1G06980.1	6,7-dimethyl-8-ribityllumazine synthase [Source:NCBI gene (formerly Entrezgene);Acc:837208]	AT1G06980
AT1G07640.3	8.88888888888889	12.037037037037	4.25531914893617	10.7142857142857	10.5263157894737	7.59493670886076	11.2280701754386	11.6838487972509	9.04761904761905	16.7441860465116	15.1162790697674	17.4887892376682	0.992543105429029	0.953883533311016	9.00956008603577e-06	0.000432239267394875	AT1G07640.3	Dof-type zinc finger DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:837277]	OBP2
AT1G07820.1	7.60393873085339	7.73809523809524	5.70833333333333	6.52920962199313	6.88622754491018	8.02752293577982	9.45307224848076	7.88446526151444	8.6996336996337	9.80392156862745	11.2792297111417	11.7097701149425	0.942462280632235	0.168191206185876	5.38522808198677e-06	0.0285809107845396	AT1G07820.1	Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837297]	AT1G07820
AT1G09200.1	9.01960784313725	11.0169491525424	9.14489311163896	7.96812749003984	7.99136069114471	6.80473372781065	8.8139281828074	7.17948717948718	8.08080808080808	10.2597402597403	9.87306064880113	10.9697933227345	0.903973822385805	0.996580788740603	0.000101667998351085	0.00217821102858542	AT1G09200.1	Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837440]	AT1G09200
AT1G10030.1	2.58620689655172	3.68663594470046	4.06779661016949	5.69105691056911	2.5531914893617	2.80898876404494	2.90697674418605	4.45344129554656	3.7914691943128	7.27969348659004	8.79765395894428	8.61538461538461	0.000342616446670141	0.999999992989442	0.00357274308276149	0.00392194039841146	AT1G10030.1	ergosterol biosynthesis protein [Source:NCBI gene (formerly Entrezgene);Acc:837538]	ERG28
AT1G11545.1	2.33918128654971	3.65296803652968	3.52941176470588	2.4390243902439	2.27272727272727	2.66159695817491	3.37268128161889	2.7972027972028	2.62295081967213	4.03846153846154	3.95869191049914	4.11840411840412	0	0.164039202077736	5.04002708112839e-10	6.65118947680389e-05	AT1G11545.1	xyloglucan endotransglucosylase/hydrolase 8 [Source:NCBI gene (formerly Entrezgene);Acc:837698]	XTH8
AT1G11930.1	4.80769230769231	3.584229390681	2.61096605744125	2.24215246636771	0.325732899022801	3.40909090909091	2.32558139534884	2.12765957446809	1.47058823529412	9.33940774487472	6.91489361702128	4.10958904109589	0.256480005312075	0.999999992989442	0.033598882288386	0.0325079939920804	AT1G11930.1	Putative pyridoxal phosphate-dependent enzyme, YBL036C type [Source:NCBI gene (formerly Entrezgene);Acc:837744]	AT1G11930
