Feature.name	Flowers_Col0_Rep1	Flowers_dne1_3_11_Rep1_1	Flowers_dne1_3_11_Rep1_2	Seedling_Col0_Rep1	Seedling_Col0_Rep2	Seedling_Col0_Rep3	Seedling_xrn4_Rep1	Seedling_xrn4_Rep2	Seedling_xrn4_Rep3	Seedling_xrn4_dne1_Rep1	Seedling_xrn4_dne1_Rep2	Seedling_xrn4_dne1_Rep3	dne1_3_11...Col0	xrn4...Col0	xrn4_dne1...Col0	xrn4_dne1...xrn4	ensembl_transcript_id	description	external_gene_name
AT1G04510.1	5.14469453376206	6.03248259860789	4.76190476190476	8.75912408759124	9.20245398773006	6.61764705882353	21.5909090909091	14.4981412639405	14.4736842105263	10.0346020761246	10.6382978723404	4.5643153526971	0.984655759961475	0.0202270926161206	0.999999992989442	0.0262108610693078	AT1G04510.1	MOS4-associated complex 3A [Source:NCBI gene (formerly Entrezgene);Acc:839503]	MAC3A
AT1G09490.1	6.19369369369369	6.59722222222222	4.50885668276973	4.3050430504305	4.97737556561086	3.69989722507708	7.74410774410774	7.48959778085992	8.09898762654668	6.23020063357973	5.77367205542725	6.84736091298145	0.967843200007855	5.95413548973441e-12	0.000154625845655604	0.0276057102402532	AT1G09490.1	NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837474]	AT1G09490
AT1G17410.1	2.79805352798054	2.9171528588098	2.57142857142857	1.82926829268293	2.23880597014925	2.13903743315508	3.08370044052863	5.49450549450549	7.01754385964912	1.85185185185185	1.76211453744493	3.24675324675325	0.987309034732101	0.0188542123444688	0.999999992989442	0.035535080276674	AT1G17410.1	Nucleoside diphosphate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838313]	AT1G17410
AT1G55270.1	19.2546583850932	15.8102766798419	14.6341463414634	11.1570247933884	12.8440366972477	13.6363636363636	30.8823529411765	27.5675675675676	29.6116504854369	23.3333333333333	24.6511627906977	27.0718232044199	0.0010851721514523	0	0	0.0336615147459757	AT1G55270.1	Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841972]	AT1G55270
AT1G77350.1	4.38108484005563	4.64285714285714	2.81368821292776	2.96411856474259	2.87009063444109	2.51141552511416	5.55555555555556	5.7356608478803	4.84225972120323	4.55015511892451	4.50819672131148	4.72813238770686	0.953896360742009	0	1.09839673588458e-12	0.0419040923158088	AT1G77350.1	keratinocyte-associated-like protein [Source:NCBI gene (formerly Entrezgene);Acc:844071]	AT1G77350
AT1G77920.1	11.9402985074627	10.0591715976331	5.45454545454545	9.09090909090909	10.7594936708861	13.9344262295082	22.1830985915493	21.8487394957983	20.3438395415473	16.8965517241379	16.3346613545817	14.9484536082474	0.769600393906629	1.83763410471344e-09	0.0101390369562985	0.0112540519911927	AT1G77920.1	bZIP transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:844127]	TGA7
AT1G80550.1	4.03225806451613	2.10970464135021	5.47945205479452	7.21649484536082	1.92307692307692	6.34920634920635	18.1818181818182	14.9425287356322	18.5185185185185	6.71641791044776	6.36363636363636	8.53658536585366	0.994246650118182	7.40863444021805e-06	0.754418566793422	0.000507056391918563	AT1G80550.1	Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844394]	AT1G80550
AT2G05920.1	14.4	13.4328358208955	8	10.7142857142857	4.34782608695652	14.5833333333333	24.4019138755981	23.4042553191489	24.223602484472	14.2857142857143	13.3802816901408	14.453125	0.877795332743674	0.000258059687180725	0.54041303105954	0.0291000688563017	AT2G05920.1	Subtilase family protein [Source:NCBI gene (formerly Entrezgene);Acc:815145]	AT2G05920
AT2G24200.1	5.50357732526142	4.49927431059506	4.1501976284585	3.08517773306506	2.91181364392679	4.5632333767927	8.64086408640864	8.53722019781364	9.58333333333333	5.40115364446775	6.04432505036938	6.71067106710671	0.00148735294034989	3.56391217115871e-12	0.000900866458230235	0.00270641559315554	AT2G24200.1	Cytosol aminopeptidase family protein [Source:NCBI gene (formerly Entrezgene);Acc:816954]	LAP1
AT2G25080.1	3.45864661654135	1.92704748795595	2.9893924783028	1.99530516431925	1.99386503067485	1.80831826401447	4.76190476190476	4.27170868347339	5.01567398119122	3.8135593220339	4.11271896420411	3.08710033076075	0.74099969283475	0	1.16401764640687e-08	0.0241432183907704	AT2G25080.1	glutathione peroxidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:817046]	GPX1
