Feature.name,Degradation_Tag,mean_prop_xrn4,mean_prop_xrn4_dne1,mean_cpm_xrn4,mean_cpm_xrn4_dne1
AT1G01100.2,3'_truncated,0.00445879312608063,0.00469608715229392,2.56427288938533,2.47640932169753
AT1G01100.2,5'_truncated,0.0431512952282523,0.0443049548134974,25.2786479427498,23.7375672454373
AT1G01100.2,Both_truncated,0.000190730497806599,0.000207015002499005,0.11189736415688,0.107730582817408
AT1G01100.2,Intact,0.952326334813065,0.950860948032543,553.295824743992,507.868924724812
AT1G01170.1,3'_truncated,0.00621219307223151,0.00578385926475232,2.11788767159532,1.72852963516128
AT1G01170.1,5'_truncated,0.0079151359394315,0.0124627857183161,2.94382854108526,3.68669401715135
AT1G01170.1,Intact,0.985872670988337,0.981753355016932,339.691228355309,291.266501317411
AT1G01470.1,3'_truncated,0.00693438305860055,0.00471753363074989,0.761261772570128,0.800965069357492
AT1G01470.1,5'_truncated,0.0459720601882784,0.0435242612363494,4.33570732814236,5.19516703490201
AT1G01470.1,Intact,0.949405017772655,0.951758205132901,93.4307156892397,118.21459961299
AT1G01620.1,3'_truncated,0.0399403899644973,0.034037265453706,16.1385641917873,15.9048368518174
AT1G01620.1,5'_truncated,0.181380063863448,0.113747428934396,59.5729978627014,52.0870850019031
AT1G01620.1,Both_truncated,0.00126393725284088,0.00156826297509057,0.613171692631665,0.732776580270688
AT1G01620.1,Intact,0.777415608919214,0.850647042636808,374.07722735886,394.371214491486
AT1G01800.1,3'_truncated,0.0307346112481182,0.0226979630268773,3.9698562085158,2.67104305191025
AT1G01800.1,5'_truncated,0.118836076545478,0.132060459213916,15.3478426461759,15.627036156485
AT1G01800.1,Both_truncated,0.00232418810579454,0.00476190476190476,0.312463912292391,0.560246750596859
AT1G01800.1,Intact,0.84810512410061,0.843654276171905,109.158567351359,100.10050738483
AT1G02280.1,3'_truncated,0.0373236911928833,0.0377540655989757,5.1108870448506,4.3014860870853
AT1G02280.1,5'_truncated,0.120508915650596,0.144309262166405,16.7188413157343,16.5787630252799
AT1G02280.1,Both_truncated,0.00259902684271439,0.00256834768961139,0.412747186360147,0.288632741373031
AT1G02280.1,Intact,0.840434708594711,0.815368324545008,117.086006997972,96.1759879712972
AT1G02780.1,3'_truncated,0.016688507539097,0.0185088659227146,9.55094063734614,13.2342154620288
AT1G02780.1,5'_truncated,0.200174871181054,0.138149416291791,85.138415439045,97.5191267751047
AT1G02780.1,Both_truncated,0.00201465372943908,0.00142481059387793,0.928099246434866,1.00072466279029
AT1G02780.1,Intact,0.781121967550409,0.841916907191617,484.13387386864,600.022935940706
AT1G03475.1,3'_truncated,0.0325142897112378,0.0274402139123441,6.93788824872462,6.2828606985006
AT1G03475.1,5'_truncated,0.223342809418533,0.213623389778408,46.9173908049103,48.8983666691522
AT1G03475.1,Both_truncated,0.00548952829180583,0.002792184464618,1.27756461559979,0.640271532872318
AT1G03475.1,Intact,0.738653372578424,0.75614421184463,163.709855507866,174.94697050345
AT1G03630.1,3'_truncated,0.0404043265730143,0.0462213089613252,11.4153762140772,11.4335684064336
AT1G03630.1,5'_truncated,0.162248760983303,0.161168297323786,41.634729587201,39.089368971992
AT1G03630.1,Both_truncated,0.00361533036196244,0.0027203949884933,0.890948957305789,0.63682791598065
AT1G03630.1,Intact,0.793731582081721,0.789889998726395,214.145975249705,200.063284908323
