Estimate	Std.Error	z.value	p.value	comparaison	Feature.name	padj	Condition	diff	Change
-0.832779500514617	0.21693052377672	-3.83892264682758	0.000123575351608896	xrn4_dne1 - xrn4	AT1G01120.1	0.0100741577684744	Seedling	significant	decrease
0.254374349400323	0.0757112404696853	3.35979635021532	0.000779999459464165	xrn4_dne1 - xrn4	AT1G01350.1	0.0383815950233628	Seedling	significant	increase
-0.455116948685157	0.0881090322593546	-5.16538358230393	2.39946336133556e-07	xrn4_dne1 - xrn4	AT1G04410.1	5.95721312709766e-05	Seedling	significant	decrease
0.313619079005135	0.055249865669079	5.67637722204734	1.3757721850638e-08	xrn4_dne1 - xrn4	AT1G05500.1	5.78035974986034e-06	Seedling	significant	increase
0.672399390688796	0.177143633781383	3.79578637027746	0.000147176195527177	xrn4_dne1 - xrn4	AT1G56420.1	0.0110120052050608	Seedling	significant	increase
-0.0827097492651267	0.0206718368632171	-4.00108368755068	6.3053051185813e-05	xrn4_dne1 - xrn4	AT1G56500.2	0.00585796376919753	Seedling	significant	decrease
-0.449120840599408	0.118998079267787	-3.77418562856575	0.000160531199297598	xrn4_dne1 - xrn4	AT2G30410.1	0.0113872910462789	Seedling	significant	decrease
-0.235927586137386	0.0475910554023488	-4.95739344594871	7.14452019989764e-07	xrn4_dne1 - xrn4	AT2G31360.1	0.000134563342523589	Seedling	significant	decrease
0.792507290351215	0.209951733383882	3.77471182341786	0.00016019273992196	xrn4_dne1 - xrn4	AT3G07110.1	0.0113872910462789	Seedling	significant	increase
-0.26322171603371	0.0541244927876839	-4.86326434625927	1.15465474870291e-06	xrn4_dne1 - xrn4	AT5G09920.1	0.000210224141247177	Seedling	significant	decrease
-1.40042428628011	0.296448930590982	-4.72399844212056	2.31252188065412e-06	xrn4_dne1 - xrn4	AT5G10050.1	0.000360885557489508	Seedling	significant	decrease
-0.454694143344625	0.123150526211921	-3.69218189585462	0.000222338349467499	xrn4_dne1 - xrn4	AT5G13630.1	0.0144572864856129	Seedling	significant	decrease
0.2611963838026	0.0674802633193417	3.87070783299291	0.000108519792055395	xrn4_dne1 - xrn4	AT1G51805.1	0.00911900160317795	Seedling	significant	increase
-0.978459118174674	0.293257629476256	-3.33651717748028	0.000848351859982444	xrn4_dne1 - xrn4	AT1G52600.1	0.0406464724493343	Seedling	significant	decrease
-0.519713520532492	0.0685278557129059	-7.58397464980965	3.35287353436797e-14	xrn4_dne1 - xrn4	AT1G78150.2	6.10446508157262e-11	Seedling	significant	decrease
-0.436879617804491	0.0965751580012123	-4.52372666891217	6.07601820323822e-06	xrn4_dne1 - xrn4	AT1G78920.1	0.000809444181124077	Seedling	significant	decrease
0.827515813945046	0.150972466578898	5.48123663007511	4.22363115593072e-08	xrn4_dne1 - xrn4	AT2G27770.1	1.28211573424192e-05	Seedling	significant	increase
0.557451087711604	0.158105978229062	3.52580651254043	0.00042219530175891	xrn4_dne1 - xrn4	AT2G28605.1	0.0230603073820716	Seedling	significant	increase
-0.635140565901149	0.123847181042846	-5.1284216608969	2.92181434602412e-07	xrn4_dne1 - xrn4	AT3G02660.1	6.64956248249323e-05	Seedling	significant	decrease
-0.357174977352137	0.0823003328740423	-4.33989711680487	1.42549440156348e-05	xrn4_dne1 - xrn4	AT1G14170.1	0.00165660647262547	Seedling	significant	decrease
-1.15603699226128	0.254456111219187	-4.5431685123313	5.54149175746588e-06	xrn4_dne1 - xrn4	AT3G52230.1	0.000789033885518462	Seedling	significant	decrease
-0.804253099279269	0.235147404732351	-3.42020827401725	0.000625732087985664	xrn4_dne1 - xrn4	AT3G52340.1	0.0319415763044645	Seedling	significant	decrease
-1.52752602144652	0.296389078727759	-5.15378646204974	2.55278622018906e-07	xrn4_dne1 - xrn4	AT3G53270.1	6.0623123194229e-05	Seedling	significant	decrease
0.314224605202851	0.0700244148022629	4.4873578178435	7.21119056956709e-06	xrn4_dne1 - xrn4	AT3G53500.1	0.00091598890444129	Seedling	significant	increase
0.590981070677321	0.167059140973683	3.53755602496735	0.00040384849813413	xrn4_dne1 - xrn4	AT4G09000.1	0.0222810151192789	Seedling	significant	increase
0.695040542831845	0.118654400459404	5.85768871732357	4.6935333397613e-09	xrn4_dne1 - xrn4	AT4G09720.4	2.44127514660196e-06	Seedling	significant	increase
0.560866026300682	0.0788251697805092	7.11531643842225	1.11666231816798e-12	xrn4_dne1 - xrn4	AT4G10730.1	1.2198419163667e-09	Seedling	significant	increase
0.146554590963059	0.0437725966478067	3.34808995093972	0.000813705961477229	xrn4_dne1 - xrn4	AT4G13150.1	0.0393315217839701	Seedling	significant	increase
-0.669254295119967	0.197509661900162	-3.38846357530735	0.000702853634171774	xrn4_dne1 - xrn4	AT5G03560.1	0.0348998777258748	Seedling	significant	decrease
0.178927516770496	0.00920905208449819	19.4295259847307	0	xrn4_dne1 - xrn4	AT5G07440.1	0	Seedling	significant	increase
0.337667717239599	0.0964478854291493	3.50103805528894	0.000463449659922954	xrn4_dne1 - xrn4	AT5G08400.1	0.0245763305097007	Seedling	significant	increase
0.221332505990267	0.0384163438341992	5.76141516604272	8.34115843062477e-09	xrn4_dne1 - xrn4	AT5G08650.2	3.79661727900604e-06	Seedling	significant	increase
-1.2867246711092	0.337518452149409	-3.81230911351657	0.000137674546657252	xrn4_dne1 - xrn4	AT5G09380.2	0.0104441440811376	Seedling	significant	decrease
0.229139505979843	0.0408618102279554	5.60766898729019	2.05069752290399e-08	xrn4_dne1 - xrn4	AT5G47040.1	7.46727324673439e-06	Seedling	significant	increase
0.413497833324989	0.0798139837639629	5.1807692565233	2.20972703024458e-07	xrn4_dne1 - xrn4	AT5G47110.1	5.74739478056947e-05	Seedling	significant	increase
0.426832320277932	0.115331464450571	3.70091823867253	0.000214820691408324	xrn4_dne1 - xrn4	AT5G65020.1	0.0141367544153285	Seedling	significant	increase
0.631626239191773	0.0847061863358303	7.45667189746445	8.88178419700125e-14	xrn4_dne1 - xrn4	AT5G65720.1	1.21280763210052e-10	Seedling	significant	increase
-0.480865883345983	0.121761543521894	-3.94924267085623	7.83988410728576e-05	xrn4_dne1 - xrn4	AT5G66410.1	0.00690668499903142	Seedling	significant	decrease
-1.22110687737402	0.33261520126603	-3.67122991590922	0.00024138607148716	xrn4_dne1 - xrn4	AT1G47400.1	0.0152036519371382	Seedling	significant	decrease
1.18887115048199	0.224688406735364	5.29119934470956	1.21516825934975e-07	xrn4_dne1 - xrn4	AT1G49510.1	3.49328896450966e-05	Seedling	significant	increase
-0.675025133188528	0.132429071726314	-5.09725790862278	3.4460869047237e-07	xrn4_dne1 - xrn4	AT1G50570.1	7.52901066944034e-05	Seedling	significant	decrease
1.17279639765504	0.324145561394722	3.61811648016643	0.000296754841677904	xrn4_dne1 - xrn4	AT2G14247.1	0.0174287628520937	Seedling	significant	increase
-0.400973949622809	0.110188360124399	-3.63898645165536	0.000273713197535885	xrn4_dne1 - xrn4	AT2G19540.1	0.0166113498326778	Seedling	significant	decrease
-1.98171372863577	0.443754815335545	-4.46578529437995	7.97755847936621e-06	xrn4_dne1 - xrn4	AT3G11500.1	0.000956948197302101	Seedling	significant	decrease
-0.405111013800102	0.105920049533026	-3.82468678579864	0.000130938443770878	xrn4_dne1 - xrn4	AT3G12200.1	0.0101877762946435	Seedling	significant	decrease
0.506034727913528	0.112295294858221	4.50628611423501	6.59721189455453e-06	xrn4_dne1 - xrn4	AT4G34230.1	0.000857951699239449	Seedling	significant	increase
-0.878437064235863	0.219595861733447	-4.00024416353593	6.32771626478679e-05	xrn4_dne1 - xrn4	AT4G34560.1	0.00585796376919753	Seedling	significant	decrease
-0.690665096164535	0.165780067196696	-4.16615283033435	3.09783065548519e-05	xrn4_dne1 - xrn4	AT4G35550.1	0.00307642746186547	Seedling	significant	decrease
-0.462281068863629	0.140795685788261	-3.2833468317974	0.00102582372632232	xrn4_dne1 - xrn4	AT4G36970.1	0.04748346773875	Seedling	significant	decrease
0.537259415678157	0.163868376748799	3.27860339095044	0.00104322140920377	xrn4_dne1 - xrn4	AT1G17860.1	0.0478829860258064	Seedling	significant	increase
-0.958035421241614	0.211721027938789	-4.52498946641518	6.03985138636354e-06	xrn4_dne1 - xrn4	AT1G66150.1	0.000809444181124077	Seedling	significant	decrease
-0.60418697663388	0.165924705354857	-3.64133222561239	0.00027123085639591	xrn4_dne1 - xrn4	AT2G42130.4	0.0166113498326778	Seedling	significant	decrease
-0.39128007232379	0.102311179313573	-3.82441171090948	0.000131084708600238	xrn4_dne1 - xrn4	AT3G55610.1	0.0101877762946435	Seedling	significant	decrease
-0.272374949802715	0.0751341368748288	-3.62518238888514	0.000288757585949373	xrn4_dne1 - xrn4	AT3G55750.1	0.0173097913738498	Seedling	significant	decrease
-0.574380622158619	0.104791596834001	-5.48117062352324	4.22520747278554e-08	xrn4_dne1 - xrn4	AT3G59660.1	1.28211573424192e-05	Seedling	significant	decrease
-0.867986270550454	0.244459090674757	-3.55064018341324	0.000384295416131497	xrn4_dne1 - xrn4	AT1G20770.2	0.0216393975557756	Seedling	significant	decrease
0.572049072647046	0.17243514481773	3.3174737855889	0.000908354391685018	xrn4_dne1 - xrn4	AT1G20980.1	0.0427709628222721	Seedling	significant	increase
-0.448364240630277	0.131608119437707	-3.40681291204451	0.000657261625506056	xrn4_dne1 - xrn4	AT1G22450.1	0.0332403981343896	Seedling	significant	decrease
0.35146108885696	0.09543488568696	3.68273180532539	0.000230747883863236	xrn4_dne1 - xrn4	AT1G26840.1	0.0148275875489529	Seedling	significant	increase
0.653117948094388	0.0550950889886875	11.8543768615836	0	xrn4_dne1 - xrn4	AT3G16250.1	0	Seedling	significant	increase
-0.383159562849817	0.0795616776562981	-4.81588088809595	1.46551928148497e-06	xrn4_dne1 - xrn4	AT3G25770.1	0.000250145822358466	Seedling	significant	decrease
0.591741050799773	0.172455318264885	3.43127168679645	0.000600758594835327	xrn4_dne1 - xrn4	AT3G27080.1	0.03095607023576	Seedling	significant	increase
-0.449296874990184	0.0950494865042094	-4.72697845632534	2.27885432524388e-06	xrn4_dne1 - xrn4	AT4G01000.1	0.000360885557489508	Seedling	significant	decrease
1.25402523343407	0.328116058725137	3.82189533272605	0.000132429900571163	xrn4_dne1 - xrn4	AT4G01320.1	0.0101877762946435	Seedling	significant	increase
-0.464347807792516	0.134519020974274	-3.4519118889612	0.000556629463813962	xrn4_dne1 - xrn4	AT4G01370.1	0.0289553345843035	Seedling	significant	decrease
-0.381001600892711	0.0885207880422472	-4.30409183333157	1.67672107596051e-05	xrn4_dne1 - xrn4	AT4G02480.1	0.00190796885768673	Seedling	significant	decrease
0.608255378457208	0.155741962316753	3.90553303303139	9.40179135533459e-05	xrn4_dne1 - xrn4	AT4G03070.1	0.00802384130981836	Seedling	significant	increase
0.685941234239695	0.170490439297043	4.02334135021254	5.73782403141543e-05	xrn4_dne1 - xrn4	AT4G03400.1	0.00549824471220896	Seedling	significant	increase
0.69697300625232	0.182167319666458	3.82600461777915	0.000130239847307534	xrn4_dne1 - xrn4	AT5G18960.2	0.0101877762946435	Seedling	significant	increase
0.600356613221272	0.153225164304602	3.91813326450608	8.92373691556703e-05	xrn4_dne1 - xrn4	AT5G20630.1	0.0077367382591789	Seedling	significant	increase
-0.36345219841982	0.0691733963092754	-5.25421936483817	1.48653619191919e-07	xrn4_dne1 - xrn4	AT5G21326.1	4.0597303401313e-05	Seedling	significant	decrease
-0.402594289507679	0.0791980431774343	-5.08338682820372	3.70763526991169e-07	xrn4_dne1 - xrn4	AT5G22950.1	7.78888609394525e-05	Seedling	significant	decrease
0.314111262815606	0.073208179555581	4.29065802103611	1.78144469240582e-05	xrn4_dne1 - xrn4	AT5G23420.1	0.00192744369459176	Seedling	significant	increase
0.561452128655514	0.0875378414703468	6.41382194517218	1.4191603447955e-10	xrn4_dne1 - xrn4	AT2G32320.1	1.10735054332472e-07	Seedling	significant	increase
-0.406434976353504	0.099055065789487	-4.10312156288164	4.07612939006263e-05	xrn4_dne1 - xrn4	AT2G33370.1	0.00397568191580752	Seedling	significant	decrease
-0.553458349143122	0.114519227337815	-4.83288581323117	1.34567979603872e-06	xrn4_dne1 - xrn4	AT2G35450.1	0.000237100098256887	Seedling	significant	decrease
-0.88859152245921	0.193791268532114	-4.58530216139206	4.53330350969061e-06	xrn4_dne1 - xrn4	AT2G35500.1	0.000669213615403517	Seedling	significant	decrease
-0.507983890270864	0.155726775013025	-3.26202022888085	0.00110621249310539	xrn4_dne1 - xrn4	AT2G36060.1	0.0497435988628462	Seedling	significant	decrease
-0.222273299607327	0.0496253335604099	-4.47902882782137	7.49834077096168e-06	xrn4_dne1 - xrn4	AT2G36870.1	0.00093081675661347	Seedling	significant	decrease
1.1694698491448	0.328565497617539	3.55932031094179	0.00037181582746082	xrn4_dne1 - xrn4	AT3G62840.1	0.0211547713499062	Seedling	significant	increase
0.455168539080045	0.128633940562889	3.53847932426133	0.00040243879665125	xrn4_dne1 - xrn4	AT5G37360.1	0.0222810151192789	Seedling	significant	increase
-0.472636301286487	0.144945983660624	-3.26077542371313	0.00111108001854032	xrn4_dne1 - xrn4	AT5G37830.1	0.0497435988628462	Seedling	significant	decrease
-0.379358390133547	0.0756257359378487	-5.01626047573691	5.26868880967868e-07	xrn4_dne1 - xrn4	AT1G33470.1	0.000106583623253574	Seedling	significant	decrease
-0.382810560009483	0.101289203177258	-3.77938169125051	0.00015721827059112	xrn4_dne1 - xrn4	AT4G26555.2	0.0113872910462789	Seedling	significant	decrease
-0.238758947594905	0.0639880875363816	-3.73130307198436	0.000190491887587463	xrn4_dne1 - xrn4	AT5G55700.1	0.013018756968639	Seedling	significant	decrease
0.556952901244519	0.0952060585166196	5.84997330970585	4.91651896972201e-09	xrn4_dne1 - xrn4	AT5G57815.1	2.44127514660196e-06	Seedling	significant	increase
-0.441411968715992	0.114506666384078	-3.85490192540764	0.000115776032382886	xrn4_dne1 - xrn4	AT1G71720.1	0.00958134377083823	Seedling	significant	decrease
-0.566227368582565	0.14289894584308	-3.96243208962751	7.41901137124579e-05	xrn4_dne1 - xrn4	AT4G31340.1	0.0066872178253587	Seedling	significant	decrease
-0.619197359031172	0.173128821526621	-3.57651229628432	0.000348208944761508	xrn4_dne1 - xrn4	AT5G52100.1	0.0200201816451301	Seedling	significant	decrease
